class_id,canonical_species_name,scientific_name,total_images,source_datasets,approval_status,selection_status,selection_reason
DRAVYA_0001,Murraya koenigii (Curry Leaf),Murraya koenigii,1397,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 1397 images across 3 dataset(s).
DRAVYA_0002,Ocimum sanctum (Holy Basil/Tulsi),Ocimum sanctum,1306,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 1306 images across 3 dataset(s).
DRAVYA_0003,Rosa spp. (Rose),Rosa spp.,1142,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 1142 images across 3 dataset(s).
DRAVYA_0004,Solanum nigrum (Makoy/Black Nightshade),Solanum nigrum,1115,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 1115 images across 3 dataset(s).
DRAVYA_0005,Mentha spp. (Mint),Mentha spp.,940,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 940 images across 3 dataset(s).
DRAVYA_0006,Saraca asoca (Ashoka),Saraca asoca,894,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 894 images across 3 dataset(s).
DRAVYA_0007,Plectranthus amboinicus (Doddapatre/Indian Borage),Plectranthus amboinicus,891,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 891 images across 2 dataset(s).
DRAVYA_0008,Piper betle (Betel Leaf),Piper betle,851,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 851 images across 2 dataset(s).
DRAVYA_0009,Lantana camara (Lantana),Lantana camara,821,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 821 images across 3 dataset(s).
DRAVYA_0010,Psidium guajava (Guava),Psidium guajava,794,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 794 images across 3 dataset(s).
DRAVYA_0011,Hibiscus rosa-sinensis (Hibiscus),Hibiscus rosa-sinensis,768,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 768 images across 3 dataset(s).
DRAVYA_0012,Citrus limon (Lemon),Citrus limon,766,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 766 images across 3 dataset(s).
DRAVYA_0013,Tinospora cordifolia (Giloy/Amrita),Tinospora cordifolia,665,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 665 images across 2 dataset(s).
DRAVYA_0014,Bambusoideae (Bamboo),Bambusoideae,630,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 630 images across 3 dataset(s).
DRAVYA_0015,Annona squamosa (Custard Apple),Annona squamosa,622,CIMPd,APPROVED,SELECTED,High-confidence botanical mapping with 622 images across 1 dataset(s).
DRAVYA_0016,Azadirachta indica (Neem),Azadirachta indica,616,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 616 images across 2 dataset(s).
DRAVYA_0017,Artocarpus heterophyllus (Jackfruit),Artocarpus heterophyllus,573,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 573 images across 3 dataset(s).
DRAVYA_0018,Ricinus communis (Castor),Ricinus communis,572,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 572 images across 2 dataset(s).
DRAVYA_0019,Pongamia pinnata (Honge/Karanja),Pongamia pinnata,572,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 572 images across 2 dataset(s).
DRAVYA_0020,Mangifera indica (Mango),Mangifera indica,560,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 560 images across 2 dataset(s).
DRAVYA_0021,Aegle marmelos (Bael),Aegle marmelos,559,CIMPd,APPROVED,SELECTED,High-confidence botanical mapping with 559 images across 1 dataset(s).
DRAVYA_0022,Aloe vera,Aloe barbadensis,559,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 559 images across 2 dataset(s).
DRAVYA_0023,Jasminum spp. (Jasmine),Jasminum spp.,543,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 543 images across 2 dataset(s).
DRAVYA_0024,Carica papaya (Papaya),Carica papaya,520,"CIMPd, Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 520 images across 3 dataset(s).
DRAVYA_0025,Calotropis gigantea (Crown Flower/Ekka),Calotropis gigantea,520,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 520 images across 2 dataset(s).
DRAVYA_0026,Nyctanthes arbor-tristis (Harsingar/Parijat),Nyctanthes arbor-tristis,509,CIMPd,APPROVED,SELECTED,High-confidence botanical mapping with 509 images across 1 dataset(s).
DRAVYA_0027,Bauhinia variegata (Kachnar),Bauhinia variegata,508,CIMPd,APPROVED,SELECTED,High-confidence botanical mapping with 508 images across 1 dataset(s).
DRAVYA_0028,Bacopa monnieri (Brahmi),Bacopa monnieri,500,"Hugging_Face, Kaggle",APPROVED,SELECTED,High-confidence botanical mapping with 500 images across 2 dataset(s).
