class_id,canonical_species_name,scientific_name,total_images,train_count,val_count,test_count,sources
DRAVYA_0001,Aloe vera,Aloe barbadensis,985,690,147,148,"Hugging_Face, Kaggle"
DRAVYA_0002,Saraca asoca (Ashoka),Saraca asoca,924,647,138,139,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0003,Piper betle (Betel Leaf),Piper betle,880,616,132,132,"Hugging_Face, Kaggle"
DRAVYA_0004,Murraya koenigii (Curry Leaf),Murraya koenigii,856,599,128,129,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0005,Lantana camara (Lantana),Lantana camara,834,584,125,125,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0006,Nyctanthes arbor-tristis (Harsingar/Parijat),Nyctanthes arbor-tristis,820,574,123,123,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0007,Annona squamosa (Custard Apple),Annona squamosa,818,573,122,123,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0008,Ocimum sanctum (Holy Basil/Tulsi),Ocimum sanctum,798,559,119,120,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0009,Solanum nigrum (Makoy/Black Nightshade),Solanum nigrum,778,545,116,117,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0010,Psidium guajava (Guava),Psidium guajava,718,503,107,108,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0011,Citrus limon (Lemon),Citrus limon,698,489,104,105,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0012,Artocarpus heterophyllus (Jackfruit),Artocarpus heterophyllus,682,477,102,103,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0013,Bauhinia variegata (Kachnar),Bauhinia variegata,658,461,98,99,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0014,Plectranthus amboinicus (Doddapatre),Plectranthus amboinicus,642,449,96,97,"Hugging_Face, Kaggle"
DRAVYA_0015,Tinospora cordifolia (Giloy/Amrita),Tinospora cordifolia,638,447,95,96,"Hugging_Face, Kaggle"
DRAVYA_0016,Mentha spp. (Mint),Mentha spp.,620,434,93,93,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0017,Bambusoideae (Bamboo),Bambusoideae,618,433,92,93,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0018,Aegle marmelos (Bael),Aegle marmelos,559,391,84,84,"CIMPd, Hugging_Face, Kaggle"
DRAVYA_0019,Ricinus communis (Castor),Ricinus communis,520,364,78,78,"Hugging_Face, Kaggle"
DRAVYA_0020,Calotropis gigantea (Crown Flower/Ekka),Calotropis gigantea,512,358,77,77,"Hugging_Face, Kaggle"
