dataset_id,class_name,image_count
CIMPd,Ashok.H,213
CIMPd,Ashok.U,133
CIMPd,Bamboo.U,102
CIMPd,Barlaria.H,284
CIMPd,Bel.H,358
CIMPd,Bel.U,201
CIMPd,Clerodendrum splendens.H,294
CIMPd,Clerodendrum splendens.U,198
CIMPd,Curry.U,200
CIMPd,CustardApple.H,367
CIMPd,CustardApple.U,255
CIMPd,Guava.H,126
CIMPd,Guava.U,62
CIMPd,Harsingar.H,311
CIMPd,Hibiscus.U,66
CIMPd,Jack Fruit.U,87
CIMPd,Jack fruit.H,210
CIMPd,Kachnar.U,182
CIMPd,Lantana.H,456
CIMPd,Lantana.U,213
CIMPd,Lemon.H,103
CIMPd,Lemon.U,68
CIMPd,"Makoy,U",241
CIMPd,Makoy.H,410
CIMPd,Marigold.H,186
CIMPd,Mint.H,239
CIMPd,Nasturtium.H,263
CIMPd,Nasturtium.U,161
CIMPd,Papaya.H,104
CIMPd,Rose.H,107
CIMPd,Rose.U,97
CIMPd,Rose1.H,169
CIMPd,Rose1.U,75
CIMPd,Scarlet Sage.H,299
CIMPd,Scarlet Sage.U,163
CIMPd,Tulsi.H,354
CIMPd,Tulsi.U,200
CIMPd,curry.H,400
CIMPd,harshingar.U,198
CIMPd,hibiscus.H,100
CIMPd,kachnar.H,326
CIMPd,leafs,11
Hugging_Face,Aloevera-Aloe barbadensis,277
Hugging_Face,Amaranthus Green_Amaranthus viridis,123
Hugging_Face,Amaranthus Red_Amaranthus tricolor,89
Hugging_Face,Amla-Phyllanthus emlica Linn,213
Hugging_Face,Amruta Balli-Tinospora cordifolia,236
Hugging_Face,Arali-Nerium oleander,235
Hugging_Face,Arive_Dantu_Amaranthus viridis,122
Hugging_Face,Ashoka-Saraca asoca,227
Hugging_Face,Ashwagandha_Withania somnifera,146
Hugging_Face,Asthma plant_Euphorbia hirta,81
Hugging_Face,Astma_weed,82
Hugging_Face,Avacado_Persea americana,146
Hugging_Face,Avaram_Senna auriculata,66
Hugging_Face,Badipala,76
Hugging_Face,Balloon vine_Cardiospermum halicacabum,246
Hugging_Face,Bamboo-Bambusoideae,264
Hugging_Face,Basale_Basella alba,249
Hugging_Face,Beans-Vigna spp. (Genus) or Phaseolus spp. (Genus),97
