dataset_a,class_a,dataset_b,class_b,candidate_reason,confidence,review_status
CIMPd,Ashok.H,Hugging_Face,Ashoka-Saraca asoca,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.H,Hugging_Face,Seethaashoka-Saraca asoca,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.H,Kaggle,Medicinal Leaf dataset\ashoka,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.H,Kaggle,Medicinal Leaf dataset\Seethaashoka,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.H,Kaggle,Medicinal plant dataset\Ashoka,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.U,Hugging_Face,Ashoka-Saraca asoca,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.U,Hugging_Face,Seethaashoka-Saraca asoca,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.U,Kaggle,Medicinal Leaf dataset\ashoka,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.U,Kaggle,Medicinal Leaf dataset\Seethaashoka,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Ashok.U,Kaggle,Medicinal plant dataset\Ashoka,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Bamboo.U,Hugging_Face,Bamboo-Bambusoideae,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Bamboo.U,Kaggle,Medicinal Leaf dataset\Bamboo,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Bamboo.U,Kaggle,Medicinal plant dataset\Bamboo,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,curry.H,Hugging_Face,Curry Leaf-Murraya koenigii,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,curry.H,Kaggle,Medicinal Leaf dataset\Curry,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,curry.H,Kaggle,Medicinal plant dataset\Curry_Leaf,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Curry.U,Hugging_Face,Curry Leaf-Murraya koenigii,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Curry.U,Kaggle,Medicinal Leaf dataset\Curry,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Curry.U,Kaggle,Medicinal plant dataset\Curry_Leaf,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Guava.H,Kaggle,Medicinal Leaf dataset\Guava,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Guava.U,Kaggle,Medicinal Leaf dataset\Guava,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,hibiscus.H,Hugging_Face,Hibiscus-Hibiscus rosa sinensis,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,hibiscus.H,Kaggle,Medicinal Leaf dataset\Hibiscus,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,hibiscus.H,Kaggle,Medicinal plant dataset\Hibiscus,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Hibiscus.U,Hugging_Face,Hibiscus-Hibiscus rosa sinensis,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Hibiscus.U,Kaggle,Medicinal Leaf dataset\Hibiscus,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Hibiscus.U,Kaggle,Medicinal plant dataset\Hibiscus,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lantana.H,Hugging_Face,Lantana- Lantana camara,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lantana.H,Kaggle,Medicinal Leaf dataset\Lantana,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lantana.U,Hugging_Face,Lantana- Lantana camara,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lantana.U,Kaggle,Medicinal Leaf dataset\Lantana,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lemon.H,Hugging_Face,Lemon grass-Cymbopogon citratus,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Lemon.H,Hugging_Face,Lemon-Citrus limon,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lemon.H,Kaggle,Medicinal Leaf dataset\Lemon,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lemon.H,Kaggle,Medicinal Leaf dataset\Lemongrass,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Lemon.H,Kaggle,Medicinal plant dataset\Lemon,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lemon.H,Kaggle,Medicinal plant dataset\Lemon_grass,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Lemon.U,Hugging_Face,Lemon grass-Cymbopogon citratus,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Lemon.U,Hugging_Face,Lemon-Citrus limon,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lemon.U,Kaggle,Medicinal Leaf dataset\Lemon,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lemon.U,Kaggle,Medicinal Leaf dataset\Lemongrass,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Lemon.U,Kaggle,Medicinal plant dataset\Lemon,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Lemon.U,Kaggle,Medicinal plant dataset\Lemon_grass,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Marigold.H,Hugging_Face,Marigold-Tagetes spp. (Genus),CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Marigold.H,Kaggle,Medicinal Leaf dataset\Marigold,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Mint.H,Hugging_Face,Malabar Catmint_Plectranthus amboinicus,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Mint.H,Hugging_Face,Mexican Mint_Plectranthus amboinicus (also known as Cuban Oregano),possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Mint.H,Hugging_Face,Mint-Mentha,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Mint.H,Kaggle,Medicinal Leaf dataset\Mint,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Mint.H,Kaggle,Medicinal plant dataset\Mint,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Papaya.H,Kaggle,Medicinal Leaf dataset\Papaya,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Rose.H,Hugging_Face,Rose Apple_Syzygium jambos,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Rose.H,Hugging_Face,Rose-Rosa,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Rose.H,Kaggle,Medicinal Leaf dataset\Rose,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Rose.H,Kaggle,Medicinal plant dataset\Rose,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Rose.U,Hugging_Face,Rose Apple_Syzygium jambos,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Rose.U,Hugging_Face,Rose-Rosa,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Rose.U,Kaggle,Medicinal Leaf dataset\Rose,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Rose.U,Kaggle,Medicinal plant dataset\Rose,CIMPd_health_suffix_match,HIGH,UNREVIEWED
CIMPd,Rose1.H,Kaggle,Medicinal Leaf dataset\Rose,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Rose1.H,Kaggle,Medicinal plant dataset\Rose,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Rose1.U,Kaggle,Medicinal Leaf dataset\Rose,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Rose1.U,Kaggle,Medicinal plant dataset\Rose,possible_name_similarity,MEDIUM,UNREVIEWED
CIMPd,Tulsi.H,Kaggle,Medicinal Leaf dataset\Tulsi,CIMPd_health_suffix_match,HIGH,UNREVIEWED
