group_id,sha256,total_files,redundant_copies,datasets_present,raw_class_folders,mapped_species,approval_statuses,representative_dataset,representative_relative_path,has_class_conflict,has_species_conflict,has_status_conflict
DUP_00001,12a9369c88e07258b8b274939b8f31772f6f9f2384359296d7543ff29841746a,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\10.jpg,True,False,False
DUP_00002,045380d5e6d57201add2988a0620180db0dcec34d8529549661e37b44bad6d8c,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\100.jpg,True,False,False
DUP_00003,ff040b5b75016bc2c365c451d4e734247d66aa23b5c0b62e4c06e8ebc7663f29,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\102.jpg,True,False,False
DUP_00004,0c7d366fbdbcb61462e0a972d765c2b06fe885775c6369f20ee9b08cb66e3193,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\104.jpg,True,False,False
DUP_00005,e94cfa6875ec980c8938269d97f0a12697578628146c5cee5f065b816db34725,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\106.jpg,True,False,False
DUP_00006,f54f47231887ea373d53aaeed9d5be1ef4eaf840cf73aebec75fdc3f63ca7ee6,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\108.jpg,True,False,False
DUP_00007,ea333360808be6b5a5d52ba573cc6e6d0c1de617ac97386a7d619ee5497a83e0,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\110.jpg,True,False,False
DUP_00008,e734fe5bf21fd58b56bbca0798dafcb7787fdc12f3c53add9a2f1528314670b2,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\112.jpg,True,False,False
DUP_00009,2d012a806a2f66fab25abb2b2e8fe96109ea3ccfdeca7d345a314373f8dc2a4b,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\114.jpg,True,False,False
DUP_00010,82f3b10bbbfccf258d878eaf77e35ead7a6828845ceb84aa30bd2e9e2f49d6de,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\116.jpg,True,False,False
DUP_00011,7d7bde175b9fd04c7fd5d59b009cb22a6251f875eb42089b3b8642c6f9529001,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\118.jpg,True,False,False
DUP_00012,855377a5060f0639776bc828f4afc4d0d20a8cc4ec9ff0a8ee85be75371d762a,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\12.jpg,True,False,False
DUP_00013,4a2ee7601f39cf9409580c9dfa802b86932b86609f2b59db1d323047287f573f,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\120.jpg,True,False,False
DUP_00014,1a84c3bb72f85fa36088ce3140aa0caffff37a5cc570b53b0df51a6d6d4146e7,2,1,"Hugging_Face, Kaggle",Hugging_Face:Aloevera-Aloe barbadensis | Kaggle:Medicinal Leaf dataset\Aloevera,Aloe vera,APPROVED,Hugging_Face,Aloevera-Aloe barbadensis\122.jpg,True,False,False
